date_collected,link,Primary Type,Article’s Perspective:,,
12/11/19,https://crooksandliars.com/2019/12/tucker-carlsons-white-power-hour-guest,PE,L,,
12/11/19,https://themindunleashed.com/2019/12/since-feeding-the-homeless-is-illegal-activists-carry-ar-15s-to-give-out-food-supplies.html,PE,C,,
12/12/19,https://iotwreport.com/nycs-de-blasio-deports-thousands-of-homeless-families-across-america/,PE,C,,
12/12/19,https://occupydemocrats.com/2019/12/10/bushs-ethics-chief-trumps-are-an-organized-crime-family-we-need-to-go-after-all-of-them/,PE,L,,
12/12/19,https://www.zerohedge.com/geopolitical/russias-only-aircraft-carrier-admiral-kuznetsov-has-erupted-flames,PE,N,,
12/16/19,https://www.thegatewaypundit.com/2019/12/trans-activists-target-olympic-cyclist-inga-thompson-for-saying-women-shouldnt-have-to-compete-with-biological-men/,H,C,,
12/16/19,https://bipartisanreport.com/2019/12/14/trump-attacks-congresswoman-for-not-having-his-back/,PE,L,,
12/16/19,https://ijr.com/trump-poised-week-become-third-president-impeached/,PE,N,,
12/17/19,https://www.teaparty.org/back-home-in-pelosis-san-francisco-homeless-drug-addicts-are-now-taking-dumps-in-the-supermarket-aisles-421170/,PE,C,,
12/17/19,https://www.palmerreport.com/analysis/retweeting-bizarre-fake-account/23745/,PE,L,,
12/17/19,http://www.trueactivist.com/kansas-city-makes-public-transportation-free-become-the-first-major-city-in-the-u-s-to-make-this-progressive-change-t1/,PE,L,,
12/18/19,https://conservativefiringline.com/video-of-the-day-dem-rep-raskin-thanks-congressman-helping-form-rules-for-sham-impeachment-of-trump-who-was-impeached-for-bribery/,PE,C,,
12/18/19,https://crooksandliars.com/2019/12/no-punches-pulled-climate-themed-campaign,PE,L,,
12/18/19,https://worldtruth.tv/wall-street-journal-investigation-finds-amazon-com-selling-dumpster-trash-food-supplements-as-new/,S,N,,
12/19/19,https://conservativepost.com/these-democrats-voted-against-impeaching-trump/,PE,C,,
12/19/19,https://occupydemocrats.com/2019/12/18/shaken-trump-vows-democrats-will-see-backlash-at-the-box-office-after-impeachment-verdict/,PE,L,,
12/19/19,https://themindunleashed.com/2019/12/un-peacekeepers-fathered-hundreds-babies-girls-haiti.html,PE,C,,
1/6/20,https://www.infowars.com/nearly-200-people-arrested-across-australia-for-deliberately-starting-bushfires/,S,C,,
1/6/20,https://bipartisanreport.com/2020/01/06/schiff-hammers-president-gop-over-impeachment-trial-obstruction/,PE,L,,
1/6/20,https://ijr.com/graham-eyes-rule-change-kick-start-trump-trial/,PE,N,,
1/7/20,https://www.express.co.uk/news/world/1224973/iran-stampede-funeral-Qassem-Soleimani-pictures-latest-world-war-3,PE,N,,
1/7/20,https://www.palmerreport.com/analysis/everything-is-falling-apart-for-donald-trump-in-real-time/24192/,PE,L,,
1/7/20,https://www.zerohedge.com/geopolitical/iran-evaluating-13-retaliation-scenarios-inflict-historic-nightmare-us,PE,C,,
1/8/20,https://www.teaparty.org/muslim-teen-accused-of-starting-aussie-grass-fire-laughs-as-he-leaves-court-on-tuesday-423811/,S,C,,
1/8/20,https://occupydemocrats.com/2020/01/07/trump-bewilders-nation-by-tweeting-all-is-well-and-so-far-so-good-after-irans-missile-strike/,PE,L,,
1/8/20,https://stillnessinthestorm.com/2020/01/key-brain-region-smaller-in-birth-control-pill-users/,S,N,,
1/9/20,https://www.freerepublic.com/focus/f-news/3806751/posts,PE,C,,
1/9/20,https://crooksandliars.com/2020/01/john-bolton-will-testify-if-subpoenaed-so,PE,L,,
1/9/20,https://www.collective-evolution.com/2020/01/09/the-us-military-pollutes-more-140-countries-combined/,S,L,,
1/13/20,http://endoftheamericandream.com/archives/why-are-volcanoes-all-over-the-globe-suddenly-shooting-giant-clouds-of-ash-miles-into-the-air,S,N,,
1/13/20,https://bipartisanreport.com/2020/01/12/new-trump-approval-poll-released-confirms-massive-2020-blue-wave/,PE,L,,
1/13/20,https://www.daily-sun.com/post/453807/Alaska-man-survives-three-weeks-with-little-food-and-shelter,H,N,,
1/14/20,https://www.dcclothesline.com/2020/01/14/wisconsin-judge-orders-up-to-209000-listings-purged-from-voter-rolls-finds-3-in-contempt-orders-fines-for-delay/,PE,C,,
1/14/20,https://www.palmerreport.com/news/no-win-cornr-gop-senators-donald-trump/24395/,PE,L,,
1/14/20,https://www.zerohedge.com/markets/boeing-refused-request-more-737-max-pilot-training-deadly-crash,H,U,,
1/15/20,https://www.teaparty.org/bloomberg-draws-paltry-crowd-of-45-at-heavily-advertised-rally-424734/,PE,C,,
1/15/20,https://occupydemocrats.com/2020/01/14/newly-released-texts-from-giuliani-crony-parnas-appear-to-show-them-spying-on-amb-yovanovich-4/,PE,L,,
1/15/20,https://themindunleashed.com/2020/01/300-vultures-occupy-border-patrol-tower-covering-it-with-corrosive-feces-vomit.html,H,N,,
1/21/20,https://fellowshipoftheminds.com/pentagon-bans-bible-verses-on-dog-tags-while-pres-trump-upholds-right-to-pray-in-public-schools,PE,C,,
1/21/20,https://crooksandliars.com/2020/01/even-c-span-ticked-over-impeachment,PE,L,,
1/21/20,https://www.naturalnews.com/2020-01-20-san-fran-democrat-tyrants-taxing-landlords-leaving-stores-vacant.html,PE,C,,
1/22/20,https://www.infowars.com/leaked-french-internal-intelligence-report-claims-150-neighborhoods-held-by-radical-islamists/,PE,C,,
1/22/20,https://bipartisanreport.com/2020/01/21/schiff-opening-impeachment-trial-statement-to-go-down-in-history/,PE,L,,
1/22/20,https://www.collective-evolution.com/2020/01/22/another-supposedly-authentic-photo-of-a-ufo-the-story-behind-it/,H,N,,
1/23/20,https://www.express.co.uk/news/world/1232244/coronavirus-outbreak-china-Huanggang-Wuhan-coronavirus-spread-latest,S,N,,
1/23/20,https://www.palmerreport.com/analysis/gaping-hole-donald-trump-own-impeachment-trial-strategy/24615/,PE,L,,
1/23/20,https://www.zerohedge.com/geopolitical/china-quarantines-second-city-experts-warn-its-already-too-late-stop-virus,S,N,,
1/27/20,https://www.dcclothesline.com/2020/01/27/lawmakers-pushing-to-make-michigan-a-2nd-amendment-sanctuary-state/,PE,C,,
1/27/20,https://occupydemocrats.com/2020/01/26/damning-potential-john-bolton-ukraine-impeachment-testimony-revealed-in-early-leak-of-book-draft/,PE,L,,
1/27/20,https://worldtruth.tv/nature-science-journal-warned-about-pathogens-escaping-wuhan-level-4-biosafety-lab-bsl-4-before-coronavirus-outbreak/,S,U,,
1/28/20,https://www.teaparty.org/holy-moses-more-than-175000-tickets-requested-to-see-president-trump-in-new-jersey-supporters-line-up-48-hours-426092/,PE,C,,
1/28/20,https://crooksandliars.com/2020/01/joni-ernst-gives-away-ballgame-joe-biden,PE,L,,
1/28/20,https://themindunleashed.com/2020/01/death-tolls-rises-106-americans-evacuate-wuhan.html,S,N,,
2/4/20,https://joeforamerica.com/ilhan-omars-dirty-money-hustle-blows-wide-open-reports-say-she-gave-40-of-her-campaign-spending-went-to-loverboys-firm/,PE,C,,
2/4/20,https://www.palmerreport.com/analysis/trumps-sham-acquittal-is-already-blowing-up-in-senate-republicans-faces/24893/,PE,L,,
2/4/20,https://worldtruth.tv/the-coronavirus-was-engineered-by-scientists-in-a-lab-using-well-documented-genetic-engineering-vectors-that-leave-behind-a-fingerprint/,S,U,,
2/5/20,https://www.infowars.com/dems-release-only-62-of-iowa-caucus-results-just-enough-to-have-mayor-cheat-in-the-lead/,PE,C,,
2/5/20,https://crooksandliars.com/2020/02/susan-collins-betrays-country-vote-acquit,PE,L,,
2/5/20,https://themindunleashed.com/2020/02/earth-is-about-to-enter-a-30-year-mini-ice-age-as-the-sun-hibernates-scientist-warns.html,S,U,,
2/6/20,https://clashdaily.com/2020/02/john-kerry-says-that-the-entire-obama-admin-was-trying-to-get-rid-of-the-burisma-prosecutor/,PE,C,,
2/6/20,https://crooksandliars.com/2020/02/jennifer-granholm-catches-rick-santorum,PE,L,,
2/6/20,https://www.naturalnews.com/2020-02-05-lies-we-are-being-told-about-coronavirus.html,S,C,,
5/27/20,https://www.westernjournal.com/like-soviet-styled-kgb-armed-police-sent-shut-black-baptist-church-pastor-says/,PE,C,,
5/27/20,https://americanindependent.com/states-coronavirus-criteria-reopen-donald-trump-illinois-pandemic-covid-19/,S,N,,
5/27/20,https://www.activistpost.com/2020/05/your-immunity-passport-future-begins-to-materialize-as-airlines-call-for-digital-id-tracking-systems.html,S,N,,
6/1/20,https://www.lifezette.com/2020/05/trump-pulls-u-s-out-of-world-health-organization-is-the-u-n-next/,PE,C,,
6/1/20,https://crooksandliars.com/2020/05/republican-voters-dont-expect-trump-mourn,PE,L,,
6/1/20,https://www.zerohedge.com/markets/german-official-leaks-report-denouncing-covid-19-global-false-alarm,PE,C,,
6/3/20,https://www.thegatewaypundit.com/2020/06/leftie-governor-cooper-kills-rnc-convention-charlotte-due-covid-19-goes-marches-leftist-mob-street-video/,PE,C,,
6/3/20,https://crooksandliars.com/2020/06/communities-color-have-been-hit-hardest,PE,L,,
6/3/20,https://www.wakingtimes.com/2020/06/02/contact-tracing-in-the-circus-of-robots/,O,C,,
6/8/20,https://www.wnd.com/2020/06/forced-vaccinations-will-control-life-warns-religious-liberty-group/,S,N,,
6/8/20,https://crooksandliars.com/2020/06/cdc-releases-survey-finds-more-americans,S,L,,
6/8/20,https://stillnessinthestorm.com/2020/06/bill-gates-the-cdc-fauci-and-birx-now-totally-silent-about-the-mass-race-riots-across-america-proves-the-covid-19-lockdown-was-a-total-scam/,O,C,,
6/10/20,https://www.louderwithcrowder.com/task-force-expect-a-spike-in-covid-thanks-to-protesters-and-rioters,O,C,,
6/10/20,https://crooksandliars.com/2020/06/new-zealand-covid-free-prime-minister-did,S,N,,
6/10/20,https://humansarefree.com/2020/06/who-data-suggests-its-very-rare-for-covid-19-to-spread-through-asymptomatic-people.html,S,C,,
6/15/20,https://www.infowars.com/china-locks-down-ten-more-beijing-neighborhoods-over-new-covid-19-outbreak-at-wholesale-market/,O,N,,
6/15/20,https://crooksandliars.com/2020/06/larry-kudlow-attendees-trumps-tulsa-rally,PE,L,,
6/15/20,https://www.zerohedge.com/geopolitical/chinese-scientist-escorted-out-canadian-biolab-sent-deadlhy-viruses-wuhan,S,N,,
6/17/20,https://www.westernjournal.com/thousands-gather-nyc-black-trans-lives-matter-protest-day-cuomo-threatens-businesses/,PE,C,,
6/17/20,https://bipartisanreport.com/2020/06/16/trump-touts-aids-vaccine-that-does-not-exist-during-tuesday-meltdown/,PE,L,,
6/17/20,https://www.healthnutnews.com/fox-cobb-county-man-tests-positive-and-negative-for-covid-19-just-hours-apart/,S,N,,
6/22/20,https://www.express.co.uk/news/uk/1299198/coronavirus-hand-dryer-spread-Charlotte-fowler-UK-COVID-19,S,N,,
6/22/20,https://crooksandliars.com/2020/06/covid-infection-spike-least-23-states-more,O,L,,
6/22/20,https://healthimpactnews.com/2020/dr-meryl-nass-discovers-hydroxychloroquine-experiments-were-designed-to-kill-covid-patients-how-many-were-murdered/,S,U,,
6/3/20,https://thefederalist.com/2020/06/02/media-falsely-claimed-violent-riots-were-peaceful-and-that-tear-gas-was-used-against-rioters/,NA,NA,,
6/3/20,https://www.palmerreport.com/analysis/berserk-late-night-meltdown-after-everything-goes-wrong-him-donald-trump/29329/,NA,NA,,
6/3/20,https://themindunleashed.com/2020/06/swarm-of-earthquakes-in-yellowstone-renews-fears-of-supervolcano-eruption.html,NA,NA,,
6/8/20,https://dailycaller.com/2020/06/07/report-george-w-bush-not-voting-donald-trump-reelection/,NA,NA,,
6/8/20,https://bipartisanreport.com/2020/06/07/bill-barr-suffers-pr-disaster-during-cbs-sunday-appearance/,NA,NA,,
6/8/20,https://tribunist.com/news/minneapolis-city-council-announce-they-will-defund-and-dismantle-police-department/,NA,NA,,
6/10/20,https://www.westernjournal.com/chicago-mayor-begs-businesses-stay-major-retailer-mulls-abandoning-city/,NA,NA,,
6/10/20,https://occupydemocrats.com/2020/06/09/governor-cuomo-publicly-condemns-trump-for-accusing-elderly-man-of-being-antifa-provocateur/,NA,NA,,
6/10/20,https://anonhq.com/scientists-are-about-to-release-millions-of-genetically-modified-rockefeller-mosquitos-in-florida-and-texas/,NA,NA,,
6/15/20,https://dailycaller.com/2020/06/14/maga-boat-parade-florida-michigan-donald-trump-birthday/,NA,NA,,
6/15/20,https://bipartisanreport.com/2020/06/14/trump-starts-sunday-morning-birthday-tweets-like-a-broken-man/,NA,NA,,
6/15/20,https://www.zerohedge.com/political/truck-drivers-reject-deliver-cities-defunded-or-disbanded-police-departments,NA,NA,,
6/17/20,https://www.wnd.com/2020/06/helpless-92-year-old-woman-injured-ruthlessly-knocked-ground-nyc/,NA,NA,,
6/17/20,https://crooksandliars.com/2020/06/mike-pence-brags-fox-news-pro-trump,NA,NA,,
6/17/20,https://themindunleashed.com/2020/06/new-reading-of-mayan-calendar-suggests-that-the-end-of-the-world-is-this-weekend.html,NA,NA,,
6/22/20,https://www.dailywire.com/news/breaking-new-york-city-museum-taking-down-statue-of-president-theodore-roosevelt,NA,NA,,
6/22/20,https://occupydemocrats.com/2020/06/21/tom-petty-estate-slams-trump-for-unauthorised-use-of-song-at-tulsa-rally/,NA,NA,,
6/22/20,zerohedge.com/political/npr-busted-framing-self-defense-getaway-gunmen-right-wing-vehicle-attack,NA,NA,,
